EventId,EventTemplate,Occurrences
b1bf6bd0,STARTUP_MSG:,19
a6ec12be,"registered UNIX signal handlers for [TERM, HUP, INT]",19
ca7d7941,loaded properties from hadoop-metrics2.properties,19
4dc89700,Scheduled snapshot period at <*> second(s).,19
ea28bb80,DataNode metrics system started,19
36c4eccc,Initialized block scanner with targetBytesPerSec <*>,19
ffd414e5,Configured hostname is mesos-slave-<*>,19
ace4c92c,Starting DataNode with maxLockedMemory = <*>,19
3d7fb32e,Opened <*> server at <*>,38
e1172ff0,Balancing bandwith is <*> bytes/s,19
54f5a3a6,Number threads for balancing is <*>,19
a79a1702,Logging to org.slf4j.impl.Log4jLoggerAdapter(org.mortbay.log) via org.mortbay.log.Slf4jLog,19
6c498ce4,"Unable to initialize FileSignerSecretProvider, falling back to use random secrets.",19
ae24104c,Http request log for http.requests.datanode is not defined,19
a8927e0e,Added global filter 'safety' (class=org.apache.hadoop.http.HttpServer2$QuotingInputFilter),19
2a05a0cf,Added filter static_user_filter (class=org.apache.hadoop.http.lib.StaticUserWebFilter$StaticUserFilter) to context <*>,57
8aa20788,Jetty bound to port <*>,19
bc800f0e,jetty-<*>.<*>.<*>,19
28a5c1a3,Started HttpServer2$SelectChannelConnectorWithSafeStartup@localhost:<*>,19
c7c8b64d,Listening HTTP traffic on <*>,19
0dee5972,dnUserName = hdfs,19
f9a92d32,supergroup = <*>,19
916d4a74,Using callQueue class java.util.concurrent.LinkedBlockingQueue,19
70066a26,Starting Socket Reader #<*> for port <*>,19
bcb7be44,Refresh request received for nameservices: null,19
1418307a,Starting BPOfferServices for nameservices: <default>,19
5aaa3cec,Block pool <*> (Datanode Uuid <*> service to mesos-master-<*><*> <*> <*> <*> <*>,39
ccc17099,IPC Server Responder: starting,19
73b103d7,IPC Server listener on <*>: starting,19
fd985bbf,Lock on <*> acquired by nodename <*>@mesos-slave-<*>,19
65223769,Storage directory <*> is not formatted for BP-<*>-<*>-<*>,2
59b3f5f5,Formatting ...,4
