EventId,EventTemplate,Occurrences
E0,"('STARTUP_MSG:', '')",8
E1,"('Formatting', '...')",4
E2,"('SHUTDOWN_MSG:', '')",4
E3,"('registered', 'UNIX', 'signal', 'handlers', 'for', '[TERM,', 'HUP,', 'INT]')",8
E4,"('Http', 'request', 'log', 'for', 'http.requests.datanode', 'is', 'not', 'defined')",8
E5,"('Storage', 'directory', '<*>', 'is', 'not', 'formatted', 'for', '<*>')",2
E6,"('Slow', 'flushOrSync', 'took', '<*>', '(threshold=300ms),', 'isSync:', 'false,', '<*>')",1
E7,"('loaded', 'properties', 'from', 'hadoop-metrics2.properties')",8
E8,"('DataNode', 'metrics', 'system', 'started')",8
E9,"('Using', 'callQueue', 'class', 'java.util.concurrent.LinkedBlockingQueue')",8
E10,"('Configured', 'hostname', '<*>', '<*>')",8
E11,"('Setting', 'up', '<*>', '<*>')",8
E12,"('IPC', 'Server', 'Responder:', 'starting')",8
E13,"('Added', 'new', 'volume:', '<*>')",8
E14,"('Adding', 'block', 'pool', '<*>')",8
E15,"('RECEIVED', 'SIGNAL', '<*>', 'SIGTERM')",4
E16,"('Scheduled', 'snapshot', 'period', '<*>', '<*>', 'second(s).')",8
E17,"('Initialized', 'block', 'scanner', '<*>', '<*>', '<*>')",8
E18,"('Starting', 'DataNode', '<*>', '<*>', '<*>', '<*>')",8
E19,"('Number', 'threads', '<*>', '<*>', '<*>', '<*>')",8
E20,"('Refresh', 'request', 'received', '<*>', '<*>', 'null')",8
E21,"('Restored', '<*>', 'block', '<*>', '<*>', 'trash.')",8
E22,"('Added', 'volume', '-', '<*>', '<*>', 'DISK')",8
E23,"('IPC', 'Server', 'listener', 'on', '<*>', 'starting')",8
E24,"('Analyzing', 'storage', 'directories', 'for', 'bpid', '<*>')",8
E25,"('Formatting', 'block', 'pool', '<*>', 'directory', '<*>')",2
E26,"('Scheduling', '<*>', 'file', '<*>', 'for', 'deletion')",153668
E27,"('Cached', 'dfsUsed', 'found', 'for', '<*>', '<*>')",3
E28,"('VolumeScanner(/opt/hdfs/data,', '<*>', 'exiting', 'because', 'of', 'exception')",2
E29,"('Opened', '<*>', 'server', 'at', '<*>')",16
E30,"('Balancing', 'bandwith', '<*>', '<*>', 'bytes/s')",8
E31,"('Logging', 'to', '<*>', 'via', 'org.mortbay.log.Slf4jLog')",8
E32,"('Added', 'global', '<*>', ""'safety'"", '(class=org.apache.hadoop.http.HttpServer2$QuotingInputFilter)')",8
E33,"('Jetty', 'bound', '<*>', 'port', '<*>')",8
E34,"('Listening', 'HTTP', '<*>', 'on', '<*>')",8
E35,"('Starting', 'BPOfferServices', '<*>', 'nameservices:', '<*>')",8
E36,"('Locking', 'is', '<*>', '<*>', '<*>')",8
E37,"('Slow', 'manageWriterOsCache', 'took', '<*>', '(threshold=300ms)')",31
E38,"('Deleted', '<*>', '<*>', 'file', '<*>')",153668
E39,"('PacketResponder:', '<*>', '<*>', 'type=HAS_DOWNSTREAM_IN_PIPELINE', 'terminating')",78018
E40,"('Unable', 'to', 'initialize', 'FileSignerSecretProvider,', 'falling', 'back', 'to', 'use', 'random', 'secrets.')",8
E41,"('Block', 'pool', 'storage', 'directory', '<*>', 'is', 'not', 'formatted', 'for', '<*>')",2
E42,"('Time', 'taken', 'to', 'scan', 'block', 'pool', '<*>', 'on', '<*>', '<*>')",8
E43,"('Received', '<*>', '<*>', 'src:', '<*>', 'dest:', '<*>', 'of', 'size', '<*>')",22036
